B19013_001E,state,zipcode,state_code
77236,Pennsylvania,17019,42
76076,Pennsylvania,17024,42
74570,Pennsylvania,17027,42
42222,Pennsylvania,17034,42
159167,Pennsylvania,17041,42
69583,Pennsylvania,17086,42
78750,Pennsylvania,17088,42
52886,Pennsylvania,17109,42
52500,Pennsylvania,17201,42
42857,Pennsylvania,17021,42
63950,Pennsylvania,17038,42
69250,Pennsylvania,17049,42
62551,Pennsylvania,17057,42
44974,Pennsylvania,17058,42
44706,Pennsylvania,17060,42
-666666666,Pennsylvania,17076,42
39135,Pennsylvania,17081,42
60125,Pennsylvania,18415,42
58977,Pennsylvania,18417,42
64111,Pennsylvania,18424,42
51450,Pennsylvania,18434,42
63047,Pennsylvania,18436,42
54750,Pennsylvania,18438,42
53611,Pennsylvania,18453,42
62024,Pennsylvania,18350,42
55139,Pennsylvania,18643,42
24468,Pennsylvania,18701,42
47712,Pennsylvania,18810,42
51346,Pennsylvania,18818,42
104444,Pennsylvania,18915,42
84306,Pennsylvania,18920,42
145227,Pennsylvania,18929,42
77472,Pennsylvania,18960,42
99067,Pennsylvania,18966,42
88516,Pennsylvania,17007,42
60481,Pennsylvania,17013,42
69643,Pennsylvania,17018,42
54643,Pennsylvania,17023,42
76703,Pennsylvania,17026,42
48571,Pennsylvania,17037,42
60967,Pennsylvania,17045,42
42031,Pennsylvania,17066,42
70731,Pennsylvania,17070,42
-666666666,Pennsylvania,17077,42
44787,Pennsylvania,17229,42
76792,Pennsylvania,17235,42
58453,Pennsylvania,17241,42
50733,Pennsylvania,17264,42
-666666666,Pennsylvania,17270,42
71786,Pennsylvania,17306,42
64122,Pennsylvania,17331,42
58536,Pennsylvania,17350,42
70561,Pennsylvania,17362,42
84275,Pennsylvania,17363,42
62015,Pennsylvania,17368,42
68639,Pennsylvania,17402,42
98304,Pennsylvania,17407,42
-666666666,Pennsylvania,17508,42
82083,Pennsylvania,17527,42
59934,Pennsylvania,17529,42
62826,Pennsylvania,17560,42
68581,Pennsylvania,17578,42
80563,Pennsylvania,17581,42
85417,Pennsylvania,17731,42
57328,Pennsylvania,17747,42
51413,Pennsylvania,17767,42
53434,Pennsylvania,17777,42
41750,Pennsylvania,17778,42
63239,Pennsylvania,17824,42
56328,Pennsylvania,17881,42
55186,Pennsylvania,17931,42
55667,Pennsylvania,17951,42
60595,Pennsylvania,17963,42
62188,Pennsylvania,17979,42
67507,Pennsylvania,17356,42
68264,Pennsylvania,17364,42
67576,Pennsylvania,17372,42
30726,Pennsylvania,17401,42
62473,Pennsylvania,17404,42
76579,Pennsylvania,17536,42
68591,Pennsylvania,17547,42
46250,Pennsylvania,17097,42
50446,Pennsylvania,17099,42
84083,Pennsylvania,17112,42
51750,Pennsylvania,17219,42
56339,Pennsylvania,17238,42
50221,Pennsylvania,17243,42
59583,Pennsylvania,17266,42
59643,Pennsylvania,17267,42
89113,Pennsylvania,17316,42
42059,Pennsylvania,17318,42
82933,Pennsylvania,17320,42
77171,Pennsylvania,17322,42
90556,Pennsylvania,17349,42
70150,Pennsylvania,17353,42
61771,Pennsylvania,17501,42
73778,Pennsylvania,17517,42
71034,Pennsylvania,17022,42
47386,Pennsylvania,17029,42
61184,Pennsylvania,17042,42
50350,Pennsylvania,17048,42
50647,Pennsylvania,17059,42
47730,Pennsylvania,17072,42
54871,Pennsylvania,17082,42
48529,Pennsylvania,17098,42
37541,Pennsylvania,17103,42
60025,Pennsylvania,17110,42
69401,Pennsylvania,17111,42
48448,Pennsylvania,17113,42
50599,Pennsylvania,17252,42
48750,Pennsylvania,17253,42
72206,Pennsylvania,17301,42
61850,Pennsylvania,17309,42
75972,Pennsylvania,17321,42
83799,Pennsylvania,17329,42
128125,Pennsylvania,17064,42
65913,Pennsylvania,17068,42
58750,Pennsylvania,17075,42
73750,Pennsylvania,17519,42
71000,Pennsylvania,17535,42
79191,Pennsylvania,17555,42
66087,Pennsylvania,17563,42
57014,Pennsylvania,17572,42
72470,Pennsylvania,17579,42
85197,Pennsylvania,17582,42
58785,Pennsylvania,17751,42
62679,Pennsylvania,17772,42
50246,Pennsylvania,17233,42
65556,Pennsylvania,17239,42
50625,Pennsylvania,17249,42
37578,Pennsylvania,17101,42
70469,Pennsylvania,17212,42
26250,Pennsylvania,17220,42
60660,Pennsylvania,17237,42
43750,Pennsylvania,17260,42
60579,Pennsylvania,17313,42
65214,Pennsylvania,17315,42
75030,Pennsylvania,17319,42
64885,Pennsylvania,17324,42
56250,Pennsylvania,17740,42
28250,Pennsylvania,17742,42
45988,Pennsylvania,17745,42
38750,Pennsylvania,17748,42
61667,Pennsylvania,17760,42
45565,Pennsylvania,17801,42
53521,Pennsylvania,17834,42
57042,Pennsylvania,17844,42
49732,Pennsylvania,17865,42
63929,Pennsylvania,17889,42
76741,Pennsylvania,17922,42
46250,Pennsylvania,17943,42
38203,Pennsylvania,17948,42
65000,Pennsylvania,19534,42
80579,Pennsylvania,19540,42
71349,Pennsylvania,19606,42
89422,Pennsylvania,19118,42
21201,Pennsylvania,19121,42
74564,Pennsylvania,19128,42
37345,Pennsylvania,19131,42
45589,Pennsylvania,19135,42
74531,Pennsylvania,19316,42
244097,Pennsylvania,19319,42
123232,Pennsylvania,19352,42
80666,Pennsylvania,19363,42
53696,Pennsylvania,19401,42
-666666666,Pennsylvania,19472,42
75767,Pennsylvania,19505,42
99923,Pennsylvania,19003,42
119698,Pennsylvania,19010,42
100859,Pennsylvania,19012,42
86973,Pennsylvania,19014,42
82006,Pennsylvania,19033,42
126198,Pennsylvania,19034,42
72618,Pennsylvania,19026,42
205764,Pennsylvania,19035,42
85931,Pennsylvania,19040,42
82087,Pennsylvania,19053,42
115244,Pennsylvania,19064,42
76586,Pennsylvania,19095,42
96953,Pennsylvania,19102,42
-666666666,Pennsylvania,19113,42
37198,Pennsylvania,19122,42
79034,Pennsylvania,19129,42
20353,Pennsylvania,19133,42
34075,Pennsylvania,19144,42
90685,Pennsylvania,19301,42
82763,Pennsylvania,19468,42
105226,Pennsylvania,19473,42
69158,Pennsylvania,19474,42
62125,Pennsylvania,19503,42
62804,Pennsylvania,19530,42
55833,Pennsylvania,19536,42
63782,Pennsylvania,19539,42
54740,Pennsylvania,19562,42
68450,Pennsylvania,19605,42
61111,Pennsylvania,19607,42
84308,Pennsylvania,19130,42
52275,Pennsylvania,16743,42
50156,Pennsylvania,16749,42
60765,Pennsylvania,16803,42
92083,Pennsylvania,16035,42
53021,Pennsylvania,16040,42
60962,Pennsylvania,16061,42
68125,Pennsylvania,16110,42
53333,Pennsylvania,16114,42
68047,Pennsylvania,16840,42
40500,Pennsylvania,16849,42
43393,Pennsylvania,16852,42
46250,Pennsylvania,16876,42
39271,Pennsylvania,16879,42
41607,Pennsylvania,16921,42
46827,Pennsylvania,16374,42
